Sigla,Nome,Setor
BBFI11B,FII BB PROGR,DBRs
BBPO11,FII BB PRGII,DBRs
BBRC11,FII BB CORP,DBRs
BBRK3,BR BROKERS ON,Imoveis
BBSD11,BB ETF SP DV CI,DBRs
BBSE3,BBSEGURIDADE ON,Seguradoras
BBVJ11,FII C JARDIM,DBRs
BBYY34,BEST BUY DRN,DBRs
BCFF11,FII BC FFII,DBRs
BCIA11,FII BCIA,DBRs
BCRI11,FII BEES CRI,DBRs
BDLL4,BARDELLA PN,Máquinas e Equipamentos
BEEF3,MINERVA ON,Alimentos Processados
BEES3,BANESTES ON,Bancos
BEES4,BANESTES PN,Bancos
BERK34,BERKSHIRE DRN,DBRs
BGIP3,BANESE ON,Bancos
BGIP4,BANESE PN,Bancos
BIDI11,BANCO INTER UNT,Bancos
BIDI3,BANCO INTER,Bancos
BIDI4,BANCO INTER PN,Bancos
BIIB34,BIOGEN DRN,DBRs
BIOM3,BIOMM ON,Medicamentos e Outros Produtos
BKBR3,BK BRASIL,Hoteis e Restaurantes
BLAK34,BLACKROCK DRN,DBRs
BMEB3,MERC BRASIL ON,Bancos
BMEB4,MERC BRASIL PN,Bancos
BMIN3,MERC INVEST ON,Bancos
BMIN4,MERC INVEST PN,Bancos
BMKS3,BIC MONARK ON,Viagens e Lazer
BMLC11B,FII BMBRC LC,DBRs
BMYB34,BRISTOLMYERS DRN,DBRs
BNBR3,NORD BRASIL ON,Bancos
BNFS11,FII BANRISUL,DBRs
BOAC34,BANK AMERICA DRN,DBRs
BOBR4,BOMBRIL PN,Produtos de Uso Pessoal e de Limpeza
BOEI34,BOEING DRN,DBRs
BONY34,BNY MELLON DRN,DBRs
BOVA11,ISHARES BOVA CI,DBRs
BOVV11,IT NOW IBOV CI,DBRs
BOXP34,BOSTON PROP DRN,DBRs
BPAC11,BTGP BANCO UNT,Bancos
BPAC3,BTGP BANCO ON,Bancos
BPAC5,BTGP BANCO PNA,Bancos
BPAN4,BANCO PAN PN,Bancos
BPFF11,FII ABSOLUTO,DBRs
BRAP3,BRADESPAR ON,Mineração
BRAP4,BRADESPAR PN,Mineração
BRAX11,ISHARES BRAX CI,DBRs
BRCR11,FII BC FUND,DBRs
BRDT3,PETROBRAS BR,"Petróleo, Gás e Biocombustíveis"
BRFS3,BRF SA ON,Alimentos Processados
BRGE11,ALFA CONSORC PNE,Seguradoras
BRGE12,ALFA CONSORC PNF,Seguradoras
BRGE3,ALFA CONSORC ON,Seguradoras
BRGE6,ALFA CONSORC PNB,Seguradoras
BRGE8,ALFA CONSORC PND,Seguradoras
BRIV3,ALFA INVEST ON,Bancos
BRIV4,ALFA INVEST PN,Bancos
BRKM3,BRASKEM ON,Químicos
BRKM5,BRASKEM PNA,Químicos
BRML3,BR MALLS PAR ON,Imoveis
BRPR3,BR PROPERT ON,Imoveis
BRSR3,BANRISUL ON,Bancos
BRSR5,BANRISUL PNA,Bancos
BRSR6,BANRISUL PNB,Bancos
BSEV3,BIOSEV ON,Alimentos Processados
BSLI3,BRB BANCO ON,Bancos
BSLI4,BRB BANCO PN,Bancos
BTCR11,FII BTG CRI,DBRs
BTOW3,B2W DIGITAL ON,eCommerce
BTTL3,BATTISTELLA ON,Material de Transporte
BZLI11,FII BRREALTY,DBRs
CAMB4,CAMBUCI PN,"Tecidos, Vestuário e Calçados"
CAML3,CAMIL ON,Alimentos Processados
CARD3,CSU CARDSYST ON,Serviços Diversos
CARE11,FII DEA CARE,DBRs
CATP34,CATERPILLAR DRN,DBRs
CBEE3,AMPLA ENERG ON,Energia Elétrica
CBOP11,FII C BRANCO,DBRs
CCPR3,CYRE COM-CCP ON,Imoveis
CCRO3,CCR SA ON,Transporte
CCXC3,CCX CARVAO ON,DBRs
CEBR3,CEB ON,Energia Elétrica
CEBR5,CEB PNA,Energia Elétrica
CEBR6,CEB PNB,Energia Elétrica
CEDO3,CEDRO ON,"Tecidos, Vestuário e Calçados"
CEDO4,CEDRO PN,"Tecidos, Vestuário e Calçados"
CEEB3,COELBA ON,Energia Elétrica
CEGR3,CEG ON,Gás
CELP3,CELPA ON,DBRs
CELP5,CELPA PNA,DBRs
CELP6,CELPA PNB,DBRs
CELP7,CELPA PNC,DBRs
CEOC11,FII CEO CCP,DBRs
CEPE5,CELPE PNA,Energia Elétrica
CEPE6,CELPE PNB,Energia Elétrica
CESP3,CESP ON,Energia Elétrica
CESP5,CESP PNA,Energia Elétrica
CESP6,CESP PNB,Energia Elétrica
CGAS3,COMGAS ON,Gás
CGAS5,COMGAS PNA,Gás
CGRA3,GRAZZIOTIN ON,"Tecidos, Vestuário e Calçados"
CGRA4,GRAZZIOTIN PN,"Tecidos, Vestuário e Calçados"
CHKE34,CHESAPEAKE DRN,DBRs
CHVX34,CHEVRON DRN,DBRs
CIEL3,CIELO ON,Gestão de Recursos e Investimentos
CLGN34,CELGENE CORP DRN,DBRs
CLSC4,CELESC PN,Energia Elétrica
CMCS34,COMCAST DRN,DBRs
CMIG3,CEMIG ON,Energia Elétrica
CMIG4,CEMIG PN,Energia Elétrica
CNES11,FII CENESP,DBRs
CNTO3,CENTAURO ON,eCommerce
COCA34,COCA COLA DRN,DBRs
COCE3,COELCE ON,Energia Elétrica
COCE5,COELCE PNA,Energia Elétrica
COLG34,COLGATE DRN,DBRs
COPH34,COPHILLIPS DRN,DBRs
COTY34,COTY INC DRN,DBRs
COWC34,COSTCO DRN,DBRs
CPFE3,CPFL ENERGIA ON,Energia Elétrica
CPLE3,COPEL ON,Energia Elétrica
CPLE6,COPEL PNB,Energia Elétrica
CPRE3,CPFL RENOVAV ON,Energia Elétrica
CPTS11B,FII CAPI SEC,DBRs
CRDE3,CR2 ON,Construção Civil
CRFB3,CARREFOUR BR ON,Alimentos Processados
CRFF11,FII CX RBRA2,DBRs
CRIV3,ALFA FINANC ON,Bancos
CRIV4,ALFA FINANC PN,Bancos
CRPG3,CRISTAL ON,Químicos
CRPG5,CRISTAL PNA,Químicos
CRPG6,CRISTAL PNB,Químicos
CSAB3,SEG AL BAHIA ON,Seguradoras
CSAB4,SEG AL BAHIA PN,Seguradoras
CSAN3,COSAN ON,"Petróleo, Gás e Biocombustíveis"
CSCO34,CISCO DRN,DBRs
CSMG3,COPASA ON,Água e Saneamento
CSNA3,SID NACIONAL ON,Siderurgia e Metalurgia
CSRN3,COSERN ON,Energia Elétrica
CSRN5,COSERN PNA,Energia Elétrica
CSRN6,COSERN PNB,Energia Elétrica
CTGP34,CITIGROUP DRN,DBRs
CTKA3,KARSTEN ON,"Tecidos, Vestuário e Calçados"
CTKA4,KARSTEN PN,"Tecidos, Vestuário e Calçados"
CTNM3,COTEMINAS ON,"Tecidos, Vestuário e Calçados"
CTNM4,COTEMINAS PN,"Tecidos, Vestuário e Calçados"
CTSA3,SANTANENSE ON,"Tecidos, Vestuário e Calçados"
CTSA4,SANTANENSE PN,"Tecidos, Vestuário e Calçados"
CTSH34,COGNIZANT DRN,DBRs
CTXT11,FII C TEXTIL,DBRs
CVCB3,CVC BRASIL ON,Viagens e Lazer
CVSH34,CVS HEALTH DRN,DBRs
CXCE11B,FII CX CEDAE,DBRs
CXRI11,FII CX RBRAV,DBRs
CXTL11,FII CX TRX,DBRs
CYRE3,CYRELA REALT ON,Construção Civil
DASA3,DASA ON,Servicos Medico - Hospitalares
DEAI34,DELTA DRN,DBRs
DHER34,DANAHER CORP DRN,DBRs
DIRR3,DIRECIONAL ON,Construção Civil
DISB34,WALT DISNEY DRN,DBRs
DIVO11,IT NOW IDIV CI,DBRs
DMAC11,FII MAC,DBRs
DMMO3,DOMMO ON,"Petróleo, Gás e Biocombustíveis"
DOHL4,DOHLER PN,"Tecidos, Vestuário e Calçados"
DOMC11,FII DOMO,DBRs
DRIT11B,FII MTGESTAO,DBRs
DTCY3,DTCOM-DIRECT ON,Serviços Diversos
DTEX3,DURATEX ON,Madeira e Papel
DUKB34,DUKE ENERGY DRN,DBRs
EALT3,ACO ALTONA ON,Máquinas e Equipamentos
EALT4,ACO ALTONA PN,Máquinas e Equipamentos
EBAY34,EBAY DRN,DBRs
ECOO11,ISHARES ECOO CI,DBRs
ECOR3,ECORODOVIAS ON,Transporte
ECPR3,ENCORPAR ON,"Tecidos, Vestuário e Calçados"
EDFO11B,FII OURINVES,DBRs
EDGA11,FII GALERIA,DBRs
EEEL3,CEEE-GT ON,Energia Elétrica
EGIE3,ENGIE BRASIL ON,Energia Elétrica
EKTR4,ELEKTRO PN,Energia Elétrica
ELEK3,ELEKEIROZ ON,DBRs
ELEK4,ELEKEIROZ PN,DBRs
ELET3,ELETROBRAS ON,Energia Elétrica
ELET6,ELETROBRAS PNB,Energia Elétrica
ELPL3,ELETROPAULO ON,DBRs
EMAE4,EMAE PN,Energia Elétrica
EMBR3,EMBRAER ON,Material de Transporte
ENAT3,ENAUTA PART,"Petróleo, Gás e Biocombustíveis"
ENBR3,ENERGIAS BR ON,Energia Elétrica
ENEV3,ENEVA ON,Energia Elétrica
ENGI11,ENERGISA UNT,Energia Elétrica
ENGI3,ENERGISA ON,Energia Elétrica
ENGI4,ENERGISA PN,Energia Elétrica
ENMA3B,CEMAR,DBRs
ENMT3,ENERGISA MT ON,Energia Elétrica
ENMT4,ENERGISA MT PN,Energia Elétrica
EQTL3,EQUATORIAL ON,Energia Elétrica
ESTC3,ESTACIO PART ON,DBRs
ESTR4,ESTRELA PN,Viagens e Lazer
ETER3,ETERNIT ON,Construção e Engenharia
EUCA3,EUCATEX ON,Madeira e Papel
EUCA4,EUCATEX PN,Madeira e Papel
EURO11,FII EUROPAR,DBRs
EVEN3,EVEN ON,Construção Civil
EXXO34,EXXON MOBIL DRN,DBRs
EZTC3,EZTEC ON,Construção Civil
FAED11,FII ANH EDUC,DBRs
FAMB11B,FII ALMIRANT,DBRs
FBOK34,FACEBOOK DRN,DBRs
FCFL11,FII CAMPUSFL,DBRs
FCXO34,FREEPORT DRN,DBRs
FDMO34,FORD MOTORS DRN,DBRs
FDXB34,FEDEX CORP DRN,DBRs
FESA3,FERBASA ON,Siderurgia e Metalurgia
FESA4,FERBASA PN,Siderurgia e Metalurgia
FEXC11,FII EXCELLEN,DBRs
FFCI11,FII RIOB RC,DBRs
FHER3,FER HERINGER ON,Químicos
FIGS11,FII GEN SHOP,DBRs
FIIB11,FII INDL BR,DBRs
FIIP11B,FII RB CAP I,DBRs
FIND11,IT NOW IFNC CI,DBRs
FIVN11,FII VIDANOVA,DBRs
FIXX11,FII FATORFIX,DBRs
FJTA3,FORJA TAURUS ON,DBRs
FJTA4,FORJA TAURUS PN,DBRs
FLMA11,FII S F LIMA,DBRs
FLRP11,FII FLORIPA,DBRs
FLRY3,FLEURY ON,Servicos Medico - Hospitalares
FMOF11,FII MEMORIAL,DBRs
FMXB34,FEMSA DRN,DBRs
FOFT11,FII CSHGFOFT,DBRs
FPAB11,FII A BRANCA,DBRs
FRAS3,FRAS-LE ON,Material de Transporte
FRIO3,METALFRIO ON,Máquinas e Equipamentos
FRTA3,POMIFRUTAS ON,Agropecuária
FSLR34,FIRST SOLAR DRN,DBRs
FVBI11,FII VBI 4440,DBRs
FVPQ11,FII V PARQUE,DBRs
GBIO33,BIOTOSCANA DR3,Medicamentos e Outros Produtos
GEOO34,GE DRN,DBRs
GEPA3,GER PARANAP ON,Energia Elétrica
GEPA4,GER PARANAP PN,Energia Elétrica
GFSA3,GAFISA ON,Construção Civil
GGBR3,GERDAU ON,Siderurgia e Metalurgia
GGBR4,GERDAU PN,Siderurgia e Metalurgia
GGRC11,FII GGRCOVEP,DBRs
GILD34,GILEAD DRN,DBRs
GMCO34,GENERAL MOT DRN,DBRs
GNDI3,INTERMEDICA ON,Servicos Medico - Hospitalares
GOAU3,GERDAU MET ON,Siderurgia e Metalurgia
GOAU4,GERDAU MET PN,Siderurgia e Metalurgia
GOGL34,ALPHABET DRN,DBRs
GOGL35,ALPHABET DRN,DBRs
GOLL4,GOL PN,Transporte
GOVE11,IT NOW IGCT CI,DBRs
GPAR3,CELGPAR ON,Energia Elétrica
GPCP3,GPC PART ON,Químicos
GPIV33,GP INVEST DR3,Gestão de Recursos e Investimentos
GRLV11,FII LOUVEIRA,DBRs
GRND3,GRENDENE ON,"Tecidos, Vestuário e Calçados"
GSFI11,FII GENERAL,DBRs
GSGI34,GOLDMANSACHS DRN,DBRs
GSHP3,GENERALSHOPP ON,Imoveis
GTWR11,FII G TOWERS,DBRs
GUAR3,GUARARAPES ON,"Tecidos, Vestuário e Calçados"
HAGA3,HAGA S/A ON,Construção e Engenharia
HAGA4,HAGA S/A PN,Construção e Engenharia
HALI34,HALLIBURTON DRN,DBRs
HAPV3,HAPVIDA ON,Servicos Medico - Hospitalares
HBOR3,HELBOR ON,Construção Civil
HBTS5,HABITASUL PNA,Imoveis
HBTT11,FII HABITAT,DBRs
HCRI11,FII CRIANCA,DBRs
HCTR11,FII HECTARE,DBRs
HETA4,HERCULES PN,Utilidades Domésticas
HFOF11,FII HEDGEFOF,DBRs
HGBS11,FII CSHGSHOP,DBRs
HGCR11,FII CSHG CRI,DBRs
HGLG11,FII CSHG LOG,DBRs
HGPO11,FII CSHGPRIM,DBRs
HGRE11,FII HG REAL,DBRs
HGRU11,FII CSHG URB,DBRs
HGTX3,CIA HERING ON,"Tecidos, Vestuário e Calçados"
HMOC11,FII HEDMOCA,DBRs
HOME34,HOME DEPOT DRN,DBRs
HONB34,HONEYWELL DRN,DBRs
HOOT4,HOTEIS OTHON PN,Hoteis e Restaurantes
HPQB34,HP COMPANY DRN,DBRs
HSHY34,HERSHEY CO DRN,DBRs
HTMX11,FII HOTEL MX,DBRs
HUSC11,FII H UNIMED,DBRs
HYPE3,HYPERMARCAS ON,Remedios
IBMB34,IBM DRN,DBRs
IBOV11,IBOVESPA IBO,DBRs
IDNT3,IDEIASNET ON,DBRs
IDVL3,INDUSVAL ON,Bancos
IDVL4,INDUSVAL PN,Bancos
IGBR3,IGB S/A ON,Imoveis
IGTA3,IGUATEMI ON,Imoveis
INEP3,INEPAR ON,Máquinas e Equipamentos
INEP4,INEPAR PN,Máquinas e Equipamentos
IRBR3,IRBBRASIL RE ON,Seguradoras
IRDM11,FII IRIDIUM,DBRs
ISUS11,IT NOW ISE CI,DBRs
ITLC34,INTEL DRN,DBRs
ITSA3,ITAUSA ON,Bancos
ITSA4,ITAUSA PN,Bancos
ITUB3,ITAUUNIBANCO ON,Bancos
ITUB4,ITAUUNIBANCO PN,Bancos
IVVB11,ISHARE SP500 CI,DBRs
JBDU11,J B DUARTE,Outros
JBDU12,J B DUARTE,Outros
JBDU3,J B DUARTE ON,Outros
JBDU4,J B DUARTE PN,Outros
JBSS3,JBS ON,Alimentos Processados
JFEN3,JOAO FORTES ON,Construção Civil
JHSF3,JHSF PART ON,Construção Civil
JNJB34,JOHNSON DRN,DBRs
JOPA3,JOSAPAR ON,Alimentos Processados
JOPA4,JOSAPAR PN,Alimentos Processados
JPMC34,JPMORGAN DRN,DBRs
JPSA3,JEREISSATI,Imoveis
JRDM11,FII SHOPJSUL,DBRs
JSLG3,JSL ON,Transporte
JSRE11,FII JS REAL,DBRs
KEPL3,KEPLER WEBER ON,Máquinas e Equipamentos
KFOF11,FII KINEAFOF,DBRs
KHCB34,KRAFT HEINZ DRN,DBRs
KLBN11,KLABIN S/A UNT,Madeira e Papel
KLBN3,KLABIN S/A ON,Madeira e Papel
KLBN4,KLABIN S/A PN,Madeira e Papel
KMBB34,KIMBERLY CL DRN,DBRs
KNCR11,FII KINEA RI,DBRs
KNHY11,FII KINEA HY,DBRs
KNIP11,FII KINEA IP,DBRs
KNRE11,FII KII REAL,DBRs
KNRI11,FII KINEA,DBRs
KROT3,KROTON ON,DBRs
LAME3,LOJAS AMERIC ON,eCommerce
LAME4,LOJAS AMERIC PN,eCommerce
LCAM3,LOCAMERICA ON,Aluguel de carros
LEVE3,METAL LEVE ON,Automóveis e Motocicletas
LIGT3,LIGHT S/A ON,Energia Elétrica
LILY34,LILLY DRN,DBRs
LINX3,LINX ON,Computadores e Equipamentos
LIPR3,ELETROPAR ON,Energia Elétrica
LIQO3,LIQ,DBRs
LLIS3,LE LIS BLANC ON,"Tecidos, Vestuário e Calçados"
LMTB34,LOCKHEED DRN,DBRs
LOFT11B,FII LOFT I,DBRs
LOGG3,LOG COM PROP ON,Imoveis
LOGN3,LOG-IN ON,Transporte
LPSB3,LOPES BRASIL ON,Imoveis
LREN3,LOJAS RENNER ON,"Tecidos, Vestuário e Calçados"
LUPA3,LUPATECH ON,"Petróleo, Gás e Biocombustíveis"
LUXM4,TREVISA PN,Transporte
LVBI11,FII VBI LOG,DBRs
MACY34,MACY S DRN,DBRs
MALL11,FII MALLS BP,DBRs
MAPT4,CEMEPE PN,Outros
MATB11,IT NOW IMAT CI,DBRs
MAXR11,FII MAX RET,DBRs
MBRF11,FII MERC BR,DBRs
MCDC34,MCDONALDS DRN,DBRs
MDIA3,M.DIASBRANCO ON,Alimentos Processados
MDLZ34,MONDELEZ INT DRN,DBRs
MDTC34,MEDTRONIC DRN,DBRs
MEAL3,IMC S/A ON,Hoteis e Restaurantes
MEND5,MENDES JR PNA,DBRs
MEND6,MENDES JR PNB,DBRs
METB34,METLIFE INC DRN,DBRs
MFII11,FII MERITO I,DBRs
MGEL4,MANGELS INDL PN,Siderurgia e Metalurgia
MGFF11,FII MOGNO,DBRs
MGLU3,MAGAZ LUIZA ON,eCommerce
MILS3,MILLS ON,Construção e Engenharia
MMMC34,3M DRN,DBRs
MMXM3,MMX MINER ON,Mineração
MNDL3,MUNDIAL ON,"Tecidos, Vestuário e Calçados"
MNPR3,MINUPAR ON,Alimentos Processados
MOAR3,MONT ARANHA ON,Holdings Diversificadas
MOSC34,MOSAIC CO DRN,DBRs
MOVI3,MOVIDA ON,Aluguel de carros
MRCK34,MERCK DRN,DBRs
MRFG3,MARFRIG ON,Alimentos Processados
MRVE3,MRV ON,Construção Civil
MSBR34,MORGAN STAN DRN,DBRs
MSCD34,MASTERCARD DRN,DBRs
MSFT34,MICROSOFT DRN,DBRs
MSPA3,MELHOR SP ON,Madeira e Papel
MTIG4,METAL IGUACU PN,Embalagens
MTSA3,METISA ON,Máquinas e Equipamentos
MTSA4,METISA PN,Máquinas e Equipamentos
MULT3,MULTIPLAN ON,Imoveis
MWET4,WETZEL S/A PN,Material de Transporte
MXRF11,FII MAXI REN,DBRs
MYPK3,IOCHP-MAXION ON,Automóveis e Motocicletas
NAFG3,NADIR FIGUEI ON,DBRs
NAFG4,NADIR FIGUEI PN,DBRs
NATU3,NATURA ON,DBRs
NEOE3,NEOENERGIA,Energia Elétrica
NEOE3B,NEOENERGIA,Energia Elétrica
NFLX34,NETFLIX DRN,DBRs
NIKE34,NIKE DRN,DBRs
NORD3,NORDON MET ON,Máquinas e Equipamentos
NPAR11,FII NESTPAR,DBRs
NSLU11,FII LOURDES,DBRs
NUTR3,NUTRIPLANT ON,Químicos
NVHO11,FII NOVOHORI,DBRs
ODPV3,ODONTOPREV ON,Servicos Medico - Hospitalares
OFSA3,OUROFINO S/A ON,Medicamentos e Outros Produtos
OIBR3,OI ON,Telecomunicações
OIBR4,OI PN,Telecomunicações
OMGE3,OMEGA GER ON,Energia Elétrica
ONEF11,FII THE ONE,DBRs
ORCL34,ORACLE DRN,DBRs
ORPD11,FII OURO PRT,DBRs
OSXB3,OSX BRASIL ON,"Petróleo, Gás e Biocombustíveis"
OUCY11,FII OURICYRE,DBRs
OUFF11,FII OURI FOF,DBRs
OUJP11,FII OURI JPP,DBRs
OULG11B,FII OURILOG,DBRs
PABY11,FII PANAMBY,DBRs
PARD3,IHPARDINI ON,Servicos Medico - Hospitalares
PATC11,FII PATRIA,DBRs
PATI3,PANATLANTICA ON,Siderurgia e Metalurgia
PATI4,PANATLANTICA PN,Siderurgia e Metalurgia
PCAR3,P.ACUCAR-CBD ON,Alimentos Processados
PCAR4,P.ACUCAR-CBD PN,Alimentos Processados
PDGR3,PDG REALT ON,Construção Civil
PEAB3,PAR AL BAHIA ON,Holdings Diversificadas
PEAB4,PAR AL BAHIA PN,Holdings Diversificadas
PEPB34,PEPSICO INC DRN,DBRs
PETR3,PETROBRAS ON,"Petróleo, Gás e Biocombustíveis"
PETR4,PETROBRAS PN,"Petróleo, Gás e Biocombustíveis"
PFIZ34,PFIZER DRN,DBRs
PFRM3,PROFARMA ON,Remedios
PGCO34,PG DRN,DBRs
PHMO34,PHILIPMORRIS DRN,DBRs
PIBB11,IT NOW PIBB CI,DBRs
PINE4,PINE PN,Bancos
PLAS3,PLASCAR PART ON,Automóveis e Motocicletas
PLRI11,FII POLO I,DBRs
PMAM3,PARANAPANEMA ON,Siderurgia e Metalurgia
PNVL3,DIMED ON,Remedios
PNVL4,DIMED PN,Remedios
POMO3,MARCOPOLO ON,Material de Transporte
POMO4,MARCOPOLO PN,Material de Transporte
PORD11,FII POLO CRI,DBRs
POSI3,POSITIVO TEC ON,Computadores e Equipamentos
PPLA11,PPLA UNT,Gestão de Recursos e Investimentos
PQDP11,FII D PEDRO,DBRs
PRIO3,PETRORIO ON,"Petróleo, Gás e Biocombustíveis"
PRSV11,FII P VARGAS,DBRs
PSSA3,PORTO SEGURO ON,Seguradoras
PTBL3,PORTOBELLO ON,Construção e Engenharia
PTNT3,PETTENATI ON,"Tecidos, Vestuário e Calçados"
PTNT4,PETTENATI PN,"Tecidos, Vestuário e Calçados"
QCOM34,QUALCOMM DRN,DBRs
QUAL3,QUALICORP ON,Servicos Medico - Hospitalares
RADL3,RAIADROGASIL ON,Remedios
RAIL3,RUMO S.A. ON,Transporte
RANI3,CELUL IRANI ON,Madeira e Papel
RANI4,CELUL IRANI PN,Madeira e Papel
RAPT3,RANDON PART ON,Material de Transporte
RAPT4,RANDON PART PN,Material de Transporte
RBBV11,FII JHSF FBV,DBRs
RBCB11,FII RIOBRCIB,DBRs
RBDS11,FII RBRESID2,DBRs
RBED11,FII RIOB ED,DBRs
RBGS11,FII RB GSB I,DBRs
RBRD11,FII RB II,DBRs
RBRF11,FII RBRALPHA,DBRs
RBRP11,FII RBR PROP,DBRs
RBRR11,FII RBRHGRAD,DBRs
RBRY11,FII RBR PCRI,DBRs
RBVA11,FII RIOB VA,DBRs
RBVO11,FII RIOBCRI2,DBRs
RCSL3,RECRUSUL ON,Material de Transporte
RCSL4,RECRUSUL PN,Material de Transporte
RDES11,FII RD ESCRI,DBRs
RDNI3,RODOBENSIMOB ON,Construção Civil
RDPD11,FII BB PAPII,DBRs
RECT11,FII UBSOFFIC,DBRs
REDE3,REDE ENERGIA ON,Energia Elétrica
REIT11,FII REIT RIV,DBRs
RENT3,LOCALIZA ON,Aluguel de carros
RIGG34,TRANSOCEAN DRN,DBRs
RLOG3,COSAN LOG ON,Transporte
RNDP11,FII BB R PAP,DBRs
RNEW11,RENOVA UNT,Energia Elétrica
RNEW3,RENOVA ON,Energia Elétrica
RNEW4,RENOVA PN,Energia Elétrica
RNGO11,FII RIONEGRO,DBRs
ROMI3,INDS ROMI ON,Máquinas e Equipamentos
ROST34,ROSS STORES DRN,DBRs
RPAD3,ALFA HOLDING ON,Bancos
RPAD5,ALFA HOLDING PNA,Bancos
RPAD6,ALFA HOLDING PNB,Bancos
RPMG3,PET MANGUINH ON,"Petróleo, Gás e Biocombustíveis"
RSID3,ROSSI RESID ON,Construção Civil
RSUL4,RIOSULENSE PN,Material de Transporte
SAAG11,FII SANT AGE,DBRs
SAIC11B,FII SIA CORP,DBRs
SANB11,SANTANDER BR UNT,Bancos
SANB3,SANTANDER BR ON,Bancos
SANB4,SANTANDER BR PN,Bancos
SAPR11,SANEPAR,Água e Saneamento
SAPR3,SANEPAR ON,Água e Saneamento
SAPR4,SANEPAR PN,Água e Saneamento
SBSP3,SABESP ON,Água e Saneamento
SBUB34,STARBUCKS DRN,DBRs
SCAR3,SAO CARLOS ON,Imoveis
SCHW34,SCHWAB DRN,DBRs
SCPF11,FII SCP,DBRs
SDIL11,FII SDI LOG,DBRs
SEER3,SER EDUCA ON,Serviços Educacionais
SGPS3,SPRINGS ON,"Tecidos, Vestuário e Calçados"
SHOW3,TIME FOR FUN ON,Viagens e Lazer
SHPH11,FII HIGIENOP,DBRs
SHUL4,SCHULZ PN,Máquinas e Equipamentos
SLBG34,SCHLUMBERGER DRN,DBRs
SLCE3,SLC AGRICOLA ON,Agropecuária
SLED3,SARAIVA LIVR ON,eCommerce
SLED4,SARAIVA LIVR PN,eCommerce
SMAL11,ISHARES SMAL CI,DBRs
SMLS3,SMILES ON,SMILES
SMTO3,SAO MARTINHO ON,Alimentos Processados
SNSY5,SANSUY PNA,Materiais Diversos
SOND5,SONDOTECNICA PNA,Construção e Engenharia
SOND6,SONDOTECNICA PNB,Construção e Engenharia
SPRI3,SPRINGER ON,DBRs
SPRI5,SPRINGER PNA,DBRs
SPRI6,SPRINGER PNB,DBRs
SPTW11,FII SP DOWNT,DBRs
SPXI11,IT NOW SPXI,DBRs
SQIA3,SINQIA,Computadores e Equipamentos
SSBR3,SIERRABRASIL ON,DBRs
SSFO34,SALESFORCE DRN,DBRs
STBP3,SANTOS BRP ON,Transporte
SULA11,SUL AMERICA UNT,Seguradoras
SULA3,SUL AMERICA ON,Seguradoras
SULA4,SUL AMERICA PN,Seguradoras
SUZB3,SUZANO PAPEL ON,Madeira e Papel
